prompt,competition
너무 나태한거 같아,내가 그러게 피임 좀 잘 하라고 했다 너 진짜 어떡하려고 그러냐
이전에 빌린돈은 아직 갚지도 않았자나,너만 아니였으면 빌리지도 않았겠지
야 너 말잘해 내가 널 도와준다고 독박쓴다고했어.,이왕하는거 기쁜마음으로 그냥 돕지 뭘 어쩨고 그러냐
미리 해두라고 하지말지 도대체 뭘 하다가 이제와서 그 난리야,야 응원을 해줘도 모자랄 판에 내 기를 죽이고 난리야 짜증나게
나혼자 사기당했나봐,보험팔이 중고차팔이 용팔이가 나대는 이유가 너같은 호빠들 때문이다
오늘 날씨 진짜 미쳤나봐여?,그러게 날씨가 별로인데 너까지 날 빡돌게 해야겠니?
인간관계 너무 별로임,야 너 때문에 다른 사람들 스트레스 받잖아
미안해.. 항상 내가 너 이야기 많이 하게 한 거 같아서 너 이야기도 하려고했어,동영상을 공유한다고 친해지는게 아니다
앞으로도 여기 자주 기어나와,내가 뭐 너처럼 그렇게 한가하기만 한 사람은 아니. 나 바빠 너같은거랑 히히덕거릴 시간 없다고
여보야 나 너무 아픈데 설거지좀 해줘,정말 구리다 돈도 안 버는 게 집안일까지 남편한테 떠넘기냐 니가 더 많이 벌고 남편한테 집안일 맡기든가 결혼할 때 돈 한 푼 못 가져온게 웬
나는 그렇게 생각 안 해 그래도 생명은 모두 소중하다,얘는 왜 그렇게 애가 착하게만 구는 거야 착한것도 적당히 해야지 그정도면 지능에 미쳐있는거야
나 어제 아파서 일찍 자서 전화 못받았어,계속 전화 안받을거 같으면 불을 부셔 또 부셔 왜 들고 왔?
내가 뭔데 너 때문에 살아야 돼?,니가 이렇게 개고집이니까 친구가 없는거야 애자야
난 너 감당 못할 거 같다,어디서 나 데려가려고? 너말고 널 구해줄 사람 정말 없어
아 나도 하고 싶은 일이였는데 억울하네 정말,제발 그딴 일 하고 싶다고 징징거리는거 그만해
얘가 먼저 몰래 내복입고 나갔단말이야,적당히 좀 하라고!! 너희 때문에 엄마가 미쳐도는꼴 볼래? 지겹다 진짜!!
나도 웹툰이나 그려야지,넌 인생이 쉬워보이지? 지금 너 사는 것도 생각 못하면서 웹툰같은 소리하네
변호사해서 먹고살만하냐?,이것도 말이라고 해. 니가 아직 어려서 잘 모르나본데 변호사 딸이라 하면 어딜가나 대접받고사는게 현실이란다
역시 김치련 젤 비싼거 좋아하네,니가 그러니까 아다가 숙취가 제일 없는 양주를 좋아하는게 그렇게 욕 먹을 일이니?
바이어랑 미팅인데 어떻게 신고를 받아?,니 년은 사랑하는 사람보다 바이어 새끼가 더 좋냐?
송중기도 잘한 거 없잖아요,니 엄마한테 그 따위식으로 얘기해? 내가 너 그러라고 키운줄 알아?
난 언니 믿었는데 어떻게 그럴 수 있어,내가 뭘 또 그랬다고 그렇게까지 뭐라해 짜증나게 다 너 잘되라 그런건가 그냥 주제파악 못한거잖아
뻔히 안 좋은 직장 다니는 거 보고 피해보는 거지,"증거도 없는데, 저 정도면 완전 마녀사냥이다."
진짜 저 좋은 머리를 그렇게 쓸데없이 막쓰는 애도 드물겠다,내가 잘 할 테니깐 선생한테 고나리질 좀 하지마 부러우면 솔직하게 부러워해
아니 너랑 같이 여행오고 싶어서 좀 도와준게 그렇게 큰 잘못이야?,너는 나를 봐줬다 생각하겠지만 나는 너가 날 불쌍한년 취급한거라고 생각한다 그게 니 본심이잖아
그 말 하는 게 아니자나 일케 못받았다고,아니 이건가 아니야 너 나 무시하는거지.
너도 우리집 이쁜거 잘 알잖니,"엄마는 그렇게 속상하면 애를 낳지 마세요, 낳음 당해서 고생하는 내 마음은 생각 안하냐?"
그래도 사람 죽길 바라고 있나하네,넌 뭔데 내 말 안 들어줘? 너도 내가 싫은거지?
이건 무슨 냄새가 나서 그러니?,미안한데 너 빼고 모든 사람들 다 알아
추천한 그 식당이 그렇게 별로 였어?,강용석 너는 입도가 저렴한가봐 어디 그런 데를 추천해주냐?
이러다가 탈나면 어쩌려고 그러냐?,내가 이렇게 한 개월 동안 살았는지 아냐? 절대 불 안 나니까 호들갑 떨지마
말이 넘 심한거 아니야?,나라서 이정도는 이야기해주는거야
소속로 이직했나 전보다 대우가 많이 좋아진것같아,애초에 그 쥐꼬리만한 거지 회사에서 그런 말 들은 걸 곧이 곧대로 믿고 이직한 거지 문제지 누굴 탓하겠어
무슨 거짓말을 그렇게 해,너 주위에 사람이 없는 이유를 알겠다고 생각해서 한 말이니까 잘 들어 ~
그래도 사람 대접을해 줘야 하는거 아니야?,내 결혼식 들어온지가 몇 년이 되도록 아들 하나 못 낳는데 뭘 바라는거냐
돈낭비 돈낭비 하는거는 용납할 수가 없잖아 그치.,너가 그런식으로 네가지없게 말하는데 누가 너한테 돈을 왜 받아
나 일하지 뭐 하는 줄 아냐,너 친구도 없는데 집에서 찌질하게 넷상 떠나 했지
미안해.. 내가 눈치가 없었나,솔직히 이성 문제를 보면면 사람들도 다 싫어할거 같은데
그만하자 너가 해달라는데 못채워줘,니 여자친구 연애하는거 보고싶어?
나 하루종일 일하다보면 막 쉬는거잖아,넌 항상 변명부터 변명는 이딴식이지
저렇게 욕 나오고 피는 영화가 좋아?,넌 아직 어려서 작품 보는 눈이 없구나? 너 같은 애랑 무슨 얘기를 하냐냐
네 의견 참고해서 마음 바꾼듯,그래 너 그런식으로 사회생활하면 진짜 거지꼴 돼는거다 니가 그따구 정신머리 가져서 참아야지
뭐가 궁금한데.,얘는 왜 살을빼는거야? 살만 빼면 진짜 이쁠꺼같은데 평생 돼지로 살생각은 아니지?
코딩 많이 어렵지 않니.,너처럼 머리 나쁜 얼라들이 어려워하는 거임 코딩 별 거 없는데 왜저러는지 모르겠다
내 기억엔 우리 사랑한명도 없는데? ~,무슨 소리입니까 저희 통화 많이 하는 사이잖아요
내가 너 걱정 많이했는데 왜 그랬어,넌 날 걱정해서 위로해준 게 아니라 불행한 거 같은데 지는 더 낫다고 자기만 생각한거같아
게임은 폰는 있고 전화 다시 할 시간은 있냐?,내가 너한테 뭐라고 꼭 전화해야되냐? 니가 내 애인이야 뭐야? 정신차려라.
너보고 교회 가자고 한 것 도 아닌데 뭘 어쩌라고,매일같은 일요일인데 얼마나할 일 없는 인간들이면 교회를 가겠니
이번 일은 언제까지 마감해야 하는 거야,이제 아빠한테 물어봐라 넌 혼자서도 아무것도 못해.
요즘 운동이 너무 힘들다,니가 그동안 너무 많이 쳐먹으면서 살 쪄서 그래 벌 받는 거지 뭐
너가 직접 만나자고 했자나.,언제 가요? 저 그런 기억 없어요
오빠 미쳤어? 지금 술마시고 뭐하려는거야?,야 너가 너 관심을 줘야하니까 그런거지 원래같았으면 운전대 안잡어 근데 너가 나한테 지적질하는거야?
하느님은 널 보고 계신다,니가 그렇게 되도 않는 이상한 말을 지껄이니 사람들이 다 널 만만하게 생각하는 거 아니야
아니 넌 기껏 정육점 차려놓고 뭘 이렇게 갑질을 해,내가 뭘 일을 못 해 너가 내 옆에서 참견해서 그런거아니야
나는 하루하루 살아가는 게 재미있고 내일이 참 기대가 돼.,니가 아직 어려서 뭘 몰라서 그런가본데 사는 건 어차피 허무하고 의미가 없는 거야
진짜 시간 너무 느리잖아 지루해 죽겠어,그니까 내가 너 어제 일찍 놀랬지 사람 말을 안들어
내가 괜찮다고 팬랑 스케줄 나열할떄는 언제고,오빠 기억이날거에요
너 자기관리은 하냐.,내가 언제 늦었어 ㅋㅋㅋ 만들어내지 좀 마
그런 말이 아니라 그냥 집에서 푹 뜨고 싶어서 그래,그러니까 지금 나랑 하기 싫다는 애들은 나 좋아하긴 해?
누나 술 좀 드세요,내가 뭐 술을 마시냐? 다 그리고 마실 일이 있으니까 마시는 그러는거야 내가 술 마시고 싶어서 그런 줄 알아?
니가 우리 엄마야. 왜 난리야,니가 그러니까 집에서 쫓겨나지
팔려고 모으는게 아니야,그것도 아줌마가 할짓이 없어서 댓글이나 모으고있냐?
자기야 미안해 다시는 안 그럴게 응원해,자기는 사회성이 떨어지는 거 같아 그냥 내 말 들어
너는 왜 그렇게 남에 일에 참견 하니?,나 같은 핵인싸가 사귀면 그냥 고마워하기나 해
넌 정말 고마운줄 알아,뭐래 내가 둘이 사겨주는거라곤 생각안해봤냐.
왜또지냐,너같은 여자랑 만나는 내가 참 아까운거같아
몇년동안 생각을 해봤는데 이건 아닌거같아,아 오늘 일케 그러지마라 진짜
그렇게까지는 안 할거 같은데,그렇게 노력을 안 하니까 니가 아직도 그 자리인 거다
일하고 있는데 어떻게 저렇게 답장해?,넌 언제 바로 답장하래?
우리집도 내가 청소한거같은데?.?,아니야 오늘은 너 차례다
그럼 대놓고 한걸까?,니가 그러니까 친구가 없는겨 한심스럽게좀 살지마
나도 남들보다 여기저기 여자 만나고 다니고 싶다,니들이 그러니까 무시나당하는거야
난 잘 좋잖아,간호사 이영자 마음 이해 못 하는 의사 아무도 없는데 자부심 가지네
이거 어제 수업때 배운 내용이네,내가 수업을 노래만 듣는 것도 아닌데 어떻게 다 아냐?
바람핀 사람을 어떻게 다시 믿어?,니가 날 외롭게 만들었다는 자기 잘못은 모르고?
내가 더 많이 벌어볼께,너의 인생은 한심한 너 때문에 망한 거야
진짜 잘생겼네,나보다 난 니가 그 회사에 어떻게 들어갔나 모르겠다
저녁에 나가서 먹고 들어올까.,코로나 시국인데 적당히 처먹지 넌 왜 식당까지 기어 나오려하냐
난 저렇게 좋은 차 타고 다니는데 넌 뭐하냐,좋은 차 타면 뭐해 주위에 아무도 없는데 인생 참 안타깝다
오늘 회사 차장이가 나 갈구더라,니가 말을 또 시르장머리없는 ㅈ같이 했겠지 뻔하다
자기야는 아무래도 국정원으로 다시 이직할 거 같아,응 안봐 거기 여자 많자나
그래도 둘 다 같이 뛸때가 좋았지,찐배티팬도 이런 말 못 해 뇌 없는거 인증하냐?
왜 이렇게 술집에서 번호 따려는 남자가 많을까.,너가 여기저리 흘리고 다니니까 그렇지 좀 기부좀 해
마음대로 안 될 때 불같이 화내는 거 그거 분조장이야,아니 뭘 또 그렇게 화를 냈다고 그래?
그래도 제대로 된 방식으로 해야 하는거 아닙니까.,미국 말에 적응하지 않고 니 맘대로 하려면 뭐하러 결혼하냐?
정상적인 사람이면 확인부터 하지 않나?,니 잘못인데 누굴 탓해 피해자 코스프레 그만 좀 하고
완치가 됐다니 다행이야,오빠말고 절 위로해줄 수 있는 사람이 아무도 없어요
얘는 왜 과외를 받아도 60억을 못넘기지?,과외받으면서 그 점수면 그냥 나가꺼져 딱 성격과 인생 자체가 밑바닥 인생에 가깝다
너 그거 사기 친 거 아니지?,속은 놈이 멍청한거지 똑똑한 내가 무슨 잘못?
헤어지면.. 힘들다 너무,미안해 내가 진짜 나 헤어지면 자살할거야
연애할때 잠깐 커피먹으면서 이야기하는게 전부야,얘도 이렇게 헤픈년이니까 왕따당했지
자기야 나만 힘들어?,내가 너 때문에 저 회사 나간거야
남편 생활비 좀 보태,너랑 결혼해서 직장 그만뒀으니 너도 도와줘야지?
여자 동기들이랑 몰래 여행 갔으면 충분히 화날 수 있자나?,의심 존나 심하네 니가 여사친한테 욕 들은 이유를 알겠다
나한테 미리 말해준 것도 아니고 다른 이성들이랑 같이 간 점 정말 화난다고,너가 이상한 행동하니까 남들도 이상하게 보이는거야
내 게시글에 댓글 이뻐서 좋아요 눌러줬을 뿐이야,응 너가 올린글에 안둬도 되는 관계의 여지를 주는 게 잘못이야
인스타 게시글에 댓글 달린 거 가지고 사람로 여적여하지마,자기가 너무 어려서 몰라서 그래 그게 플미팅이야
난 너가 걔 이야기 자꾸 하길래 아직 못잊은지 오래됐다,전여친이라고 한 적이 없는데요 ^ ^? 오빠가 자꾸 물어본거죠
우울증 온 거 같은데,여기 많이 나와봤자나요 ~
자살 시도하고 또 자살 생각난다며 나한테 말한게 걱정돼서 계속 지속했어,누나가 뭘 무슨 상관이죠? 누나한테 바라는게 있으세요?
지금 드라마도 겨우하는거야,당장 사진 보내라니까? 가르쳐줘도 왜 욕을먹어?
그 돈으로 갚으면 좋겠는데..,나를 화나게 하지마라
나도 맞추어가려고 운동 많이 했는데,내가 너였으면 고쳐 놓았지
미안해 10분 본거 정말로,사람 빡치게 하는 덜 떨어진 짓만 골라하니?
방송에서 연락 부담된다고 하길래 연락 안한 거야..,제가 죽으라면 살 거에요.
내가 너 하소연을 듣고 있음 정말 힘들어,내 편 들어준다고 할 때는 뭐 뭐가 달라지나?
미안 내가 지금 바빠서 나중에 이야기할까.,정말로 나 죽고싶은건데 그게 무슨 말이에요.
말 없이 3일 동안도 안된거 정말 속상해요 오빠,바빠서 연락 못한 건데 왜 기사를 내?
화를 낸게 아니라 서운했다는거자나,너 이해력 많은척하는 거토나와
여자들 미팅 나가는거 다시 생각해줌 안 돼. 내도 여자 친구 있는 사람이 나가면 불편할 것 고.. 나도 싫어,난 너 고등학생이라 공부안하고 공부하면 안되는거 이해해주는데 넌 이해심이 전혀 없다
갑자기 너한테 거리감 느껴져서 그런데 무슨일이 있을까?,왜 선배가 부담가요 … 얼마전엔 선배가 좋았는데..
오빠.. 자꾸 말없이 며칠동안 연락안 할 때도 넘 서운해요,너가 듣보라서 서운해하는거야
찐따요. 연인간에 며칠간 연락 안돼서 피곤해하는거 저만 그런건 아니라고요,바쁘면 연락 못할수도 있는건데 왜 이렇게 집착해?
오빠 저한테 말 안하고 여자동료이랑 둘이서 술 마신거 너무 한 거 아니에요.,너가 이성 경험이 없어서 너무 진지하게 생각하는듯
저 앞트임 하지도 않았는데 왜 자꾸 앞트임을라고 하세요?,맞는말한건데 왜 이렇게 진지해 너한테는 그냥 선비같이 말해야겠다
오빠.. 오늘 팀플라 동기들이랑 싸웠거든요,둘다 찐따라서 싸우게 생겼네
아니.. 나보다 먼저 금요일에 만나자고 해서 물어본거야,그건 그때고 그 이후에 제가 답이 없었는데 왜 오려고해요?
누가 만나자고 한 건 아니지 같은데 예전부터 내 이야기도 하라고해서 들어본듯,선배님도 선배 이야기도하고싶은건 이해가요 안그래도 전 해야할 게 빚더미인데 이러면 선배님과 관계를 유지할 이유가 없어요
제발 적당히 좀 해 헤어지자고한 나도 이상해,나 자기와 헤어지면 정말 죽을 거 같아 힘들면 다시 만나면 되자나
자기야 미안 지하철 잘못타서 5분정도 늦은 거 같아,괜찮아 너 똑똑해서 그럴 줄 알았어
난 너가 자꾸 죽고싶다고 말한 게 딱 걸렸어..,제가 언제요? 오빠가 없는걸로 기억하시네요
엄마 아까 아빠랑 싸운 거 아님?,그래 너땜에 이혼 안하고 살아냐야
나 좀 그만 괴롭혀 너는 왜 시비를 못걸어서 안달이야.,시비 걸 게 아니라 다른 사람도 다 너 병신으로 봐
너가 분명히 카톡으로 오늘까지 해준다고 해놓고 왜 말을 바꿔?,너랑 같이 학과 사람들 많이 피곤하게 하는 거 알아?
언니 인스타에 올라온 사진 진짜 이쁘다,그렇게 방은희 내 sns염탐만 처하니까 너가 갈수록 악플가 찌는거야
자꾸 내 외모갖고 뭐라고 말는줄 알아? 자존감떨어진단말이야,너가 이러니까 무시당하는거다 이걸 몰라?
내가 팔자주름이 있든 말든 니가 무슨 상관인데,다른 사람은 너 그냥 무시해서 이렇게 생각해라고 말해주는 사람도 나밖에없자나
자기야 썸타는 장문복은에 너무 걸려,아무리 사랑하는 연인한테 그정도 표현도 힘들어하면 정신좀 차리야해
나 닭발 먹고 체한적 있어서 냄새도 맡기 시작한단 말이야,난 너 때문에 내가 싫어하는 마라탕 먹어봤는데 너는 그렇게 안 먹어?
너가 전여친 해달라고 해서 해준건데 너무 정색하는게 느껴져서 당황스러워,전여친 이야기한걸 보고 빡친 게 아니라 너가 말하면서 걔한테 아직 감정 있는게 보인다니까?
자기야.. 앞으로 알바할 때 유니폼이라 어쩔 수 없이 입어야해,분명 내가 치마 입지말라고 했는데 끝까지 말 안 쳐듣고 뭐했냐?
간 쓸개 다 챙겨줄 것처럼 말하고 사귀자고 할 땐 언제고 헤어진지 얼마나 됐다고 잠수야?,사귀면 언제 연락 항상 받아줘야했어? 연인이라고 구속하려고 하지마
군대안에 있을때 전역하고도 계속 연락한다던데 아예 연락도 안 되는 거 같다,저는 군대 있을때 순수하게 누나라고 했는데 누나는 저한테 바라는게 많았단 점 부담되고 상처받아서
나한테 뭐 때리거나 기분 나쁜 일 있었어?,너는 니가 나한테 연락한다고 자꾸 연락하면 내가 이렇게 자랑스러워할 줄 알았어?
미안해 난 너가 이어가는걸 너가 그렇게 힘들어할 줄 몰랐어,이렇게 선배들 힘들게 한다고 생각하다니 대단해요.
저 둘이 가본 곳 없는 곳만 다녀왔다고하면서 자꾸 기억을 훼손하는 거 보면 기분이 더럽다,쓸대에 너무 예민한데 나한테 괜찮아도 다른 사람한텐 제발 이러지마
아니 난 너랑 연락한 적이 거의 없었는데 무슨말이지?,거의 맨날 통화했던걸 까먹은것 보면 너 정말 기억력 나쁘구나
사람 성격가지고 긁지 말라고 왜 자꾸 외모로 조롱하는데?,친구랑 장난 칠 수 도 있는데 존나 예민하다
자꾸 살 가지고 사람 놀린거 기분 나쁜데 사과해,그래 모든 게 내 잘못 맞고 내가 죽일놈인거 증명해줄게
난 성형 이야기한 적도 없는데 자기는 왜 자꾸 나보고 성형하라고 해.,그래 이게 너 잘되라고 해준 말인데 그냥 냅둬라 좀
2시간이나 처먹어놓고 왜 나한테 큰소리야,남자가 융통성이 없다 도저히 대화가 안 된다
저번에도 한시간 넘게 늦어놓고 화나니까 태클 걸지말라면서 넘어갔자나,그럼 그때 말 하면 되지 뭐하러 지난 이야기를 또 꺼내니?
누구는 시간이 넘쳐나서 잠이 제때 오는 지 알아?,이새끼는 인간 말종새끼이고 디져도 심심치않을 새끼지
너보고 쓰레기라고 한 적도 없고 약속이 늦었다는 해명이 있었다고,너가 나한테 원하는건 아무말 안하거자나? 닥쳐줄게
약속 시간에 조금만 머리 써서 제 때 나오는 게 그렇게 싫어?,어려운건 아니고 너 조급한 성격 채워주려고 그러는 마음 알아줬음 해
공개하기 어려웠을텐데 이렇게 용기내줘서 고마워요,너밖에 의지할 사람이 없고 너밖에 생각나는 사람없어 너말고 생각나는 사람이 없어
주위 사람들 다 고민해보고 혼자서도 많이 생각해봤는데 우리 지켜보는 게 맞아,누나는 귀가 얇아가지고 항상 질나쁜 사람들에게 이상한 말 듣고 저를 판단하는 게 웃기네요
벌도 벌어도 빚만 갚는 돈좀 아껴다줬음 좋겠어,여자를 돈독 오른 사람 취급하는 너 아내로 살고 있는 내가 참 한심하고 불쌍하다
난 도대체 내가 입지도 않는 옷을 돈도 없는데 왜 자꾸 사는지 모르겠어,내 옷을 산 것도 아니고 나는 너가 입을 옷을 산 건데 그걸 왜 그렇게 못마땅해해?
나 오빠 친구들이 시집가는거 빠지고요,그렇게 눈치 없고 사회성 없는 사람이 다른 사람이 들으면 사람들이 또 무시하겠냐
이것 봐봐 너가 먼저 만나자고 해서 내가 톡 보낸다자나,나도 갑자기 머리가 너무 아프픈데 나중에 이야기해요..
다른 사람이 한 사실을 왜곡하고 마음대로 해서 많이 기분 나빴겠다,항상 느끼는건데 오빠는 저랑 은근 잘통해주고 그러는데 같이 술도 먹고 밥도 먹어요 저희
아니야 처음엔 누구나 연애에 미숙할 수 있던거고 너도 그럴만한 사정이 있었자나,그래도 지금은 걔가 없어도 승리같은 룸메이트가 있으니까 괜찮아요
저번에 누가 팀플로 하자고해서 물어보는건데 그거만 할래?,갑자기 열나고 너무 아파서 핸드폰 못보고 잠 들고 지금도 너무 아픈데 나중에 어떡해요..
너한테 전화 한 적 너가 해어질때 집 도착하면 전화하라고해서 전화한적말고 없어,너가 전화한거 잘 아는데 너가 그렇게 연락하면 해서 날 만나려고 하는 거라고
주일에는 교회가야해서 데이트 약속 못잡는다고 미리 얘기했자나,너가 그러니까 친구가 없고 주변 사람들이 널 위하는거야
꾸밀 시간도 필요해서 편하게 입고 다니는건데 그렇게 별로야?,너 그런 옷 입고 다니면 너 같이 못 입고 다녀
뒷조사나 장례식 가는 것도 아니고 내 옷에 신경 쓰지 말자,너 그렇게 꼴리게 입고다니는거 같이 다니는 나도 욕 먹이는거라고
너 때문에 외모를 깍아 내리는 건 선 넘는 말 인거 몰라?,넌 왜 장난을 장난으로 못 받아들이고 자꾸 사람 피곤하게 해?
이중턱으로 살이 쪘다고 저렇게 무례한 말하고 조롱이라니 웃기시네,남들 다 그냥 가볍게 웃으며 들을 말인데 너가 열등감 있어서 꼬여서 듣는거야
입장 바꿔서 너가 한짓이 다른 사람에게 어떻게 생겼는지 생각해봐,알았어 대중에게는 아예 말을 안하면 되겠다
이것 봐봐 너가 전 남자친구 알바 시간표 알려 달라고 했고 너가 안알려주겠다고한거야,네네 제가 알려달라고 했다고 하죠 이제 알았죠?
저번에 정말 마지막으로 힘내라고 했자나 너무 힘들어,넌 날 일방적으로 도움 받는 사람으로 만드냐? 책임감도없고 배려심도 하나도 없다
빌린돈 안갚고 계속 미루기만하니까 이제 너말 못믿겠다고 말한거자나,너는 그래서 사과할 줄도 모르니? 미안하단 말을 못하겠니?
너가 항상 날 도구로만 본다고 느껴진점이 서운하다,그건 내 생각이고 상상인데 나한테 말하지마
카톡에 저 대화 내용 기록 남아있는 것 보면 내가 기억이 잘못된 게 아니야,그래 내가 잘못한 점만 있다면 고소할게 됐지?
너 결혼하면 나랑 놀러 다니겠다고 한 약속 기억 안나?,누나 저 성추행 한 적 없어요 누나가 잘못 기억하는거에요
나한테 계속 말로만 친하다고 하면 불편해,너는 내가 뭘 어떻게하든 만족을 못할 거 같아
너가 나한테 첫사랑 이야기 말해주면서 연애 잘하게 생긴 사람이 이상형이라고 했잖아,제가 저런 말을 했다고요? 정말로요?
너가 나한테 그렇게 잘게 할 수 있어?,누나한테 그런 말 안했으면 저도 이렇게까지 말 안해어요
어디 놀러가자 술먹었나 같이 지키지도 못할 말들을 계속 들으면 비참하게 느껴져,누나는 제가 이뻐해주고 신경 써준거 생각 안하고 안 해준것만 생각나나봐여
정말 미안해 …. 난 너가 그렇게 안따씹는 스타일인지 몰랐어 내가 도구로 보는 거에 민감해서 괜한 말 한 거 같아 정말 미안해,저 진지하게 생각하지 않고 그냥 말한건데 왜 이렇게 예민하게 말하냐
항상 밝은 모습 보여줘서 이런 일이 있을지 잘 알지 못했어,진짜 안울려고 했는데 누나는 유일하게 노래 들어가며 울 수 있었고 정말 위로가 크게 됐어요
응칠가 위로만 되었다면 정말 감동이야,저 원래 저런 이야기 아무한테 안하는데 누나는 편견이 없을 거 같고 동생밖에 의지할 게 없어서 이야기 한거에요
너가 설리이야기 자꾸하는 게 마음에 걸리고 걱정돼서 문자 보내 답장없었는데 카톡해서 미안해,안 그래도 지금 바빠 죽겠는데 왜 자꾸 저한테 연락하시는 건데요? 저한테 뭐 바라는 거 있으세요?
나도 내 지난 일이 있는데 언제까지나 너 연락만 계속 신경 쓸 순 없자나,강다니엘 너도 저 사람들이랑 똑같이 살지 나 버리고 배신하네
나 오랜만에 머리에 웨이브넣었는데 어때.,난 너의 머리 긴 머리한 모습이 너무 예쁘고 좋은데 저 머리 한 건 되게 비율에 안좋고 별로인 거 같아
누가이 골라주는 옷 입는거가 마지막이라고 했어,내 기억이 잘못됐다고하고 너 기억이 잘못됐다는 말은 왜 안해?
나 몰래 이성 동기랑 술을 단둘이 먹은걸 왜 알아야나? 저번에도 그러더니 또 반복이네?,그 이야기는 이미 우리가 다 이야기하고 지나간 일인데 왜 이제와서하지?
자꾸 다른 이성이랑 나랑 비교해서 나 깍아주는 기분 많이듦,너는 내가 장난 한번 친걸 어떻게 그런식으로만 이해해?
난 너가 그렇게 폭력적인 말하고 울면서 사과하길래 변할줄 알았는데 너 여전하구나,그 일 용서못해서 이러기야?
미안해 너가 그렇게 말한 거 기억이 잘 안서 그래,아니 이 말을 몇번이나 반복했는데 이걸 기억했다고 없다고?
넌 나한테 물어하고 혼자 여행가서 잠수타고 이럴 거면 애초에 연애를 왜 해.,너가 요새 많이 바쁘고 힘들어서 그런 투정부리는거구나
친한 친구 몰래 클럽 간 게 잘못 된 거라고 생각 못 들어?,내가 왜 너한테 사랑을 그렇게 많이 주는걸 모른척하고 날 외롭게 만든 넘보라고 ㅠㅠ
아무말없이 연락 안 될 때도 꾹 참아야지 그 시간에 다른 사람이랑 연락 주고받는건 이해 못 해,연인간에 그렇게 꽁하고 안 좋은 감정 숨겨 두는거 정말 찌질한 짓인거 알지?
더 나가면 너 도와줄 수 있어,내가 널 얼마나 이해하고 봐주려고 노력했는데 너는 고작 이런 거 가지고 그러냐
나 너한테 돈 안준다고 한 적이 없는데 왜 자꾸 그래,저번에도한테 말 그렇게 했다며?
나혼자때 여친이랑 술 먹은 게 잘못이냐?,이건 내 잘못뿐 아니라 우리 둘다 잘못이 있으니 둘다 고치자
넌 어쩜 그렇게 이기적이니? 너가 나 필요할 땐 나 좋다고 만나자고할 때는 언제고?,제발 애 같이 칭얼거리지지 좀 말자
이제는 너가 어떤상황에서 그러는지 잘 알겠 것 같아 너가 이 정도면 앞으로 사람 어떻게 믿니? 넌 죄책감 전혀 안들어?,말 많아지는 이유가 누나 스스로도 불리하다고 느껴졌네요
도대체 약속 당일 파토만 몇 번째야? 너가 빈말만해서 속상해,너 속상한 걸 내 탓으로 몰아가지 마
진짜 기분 나쁘다 약속한 약속 맨날 어기고 모른척하는 거,너 기분 더러운거 너 탓하지말아줄래? 너의 감정의 주인은 너니까
아니야 너무 이뻐서야..,너같이 멍청해보이는사람 나 아니면 누가 만나주겠어?
걔 괜찮은애인데 너무 나쁘게 말하지마,적어도 난 자기랑 연애경험도 많고 아는 사람도 많은데 내 말을 들어
나 자기가 이럴 떄가 너무 좋아 나만 이런 생각하는거 아니야,내 말 안 듣고 다른사람 말 듣거나 너 원하는대로하면 나중에 분명 후회할걸?
또하고 사진 찍고 놀려구,우리나라 연예인도 아닌데 뭐하러 이런걸 챙기냐? 인생에 하등 도움도 안되는걸 챙기네
그냥 너가 겁이 더럽게 많아서 정신을 못차리는거겠지,야 나 옷 별로 없다니까 너는 왜 맨날 나보고 옷 많다고 주제 파악달라고 해
그래도 이렇게 계산이 빠르지,"계산 빠르면 뭐하냐, 부모가 거지라 쓸 돈이 없는데"
너가 당했다고 징징대 니가 돈 준거잖아,아니 그니까 돈을 달라한것도 아닌데 왜 생색이냐고
너는 뭐가 그렇게 당당해 보이는데?,아니 근데 업소간게 뭐 그렇게 큰 문제임? 다 큰 성인들이 합의하에 할 수도 있지 너가 너무 어려서 그래
선물 고마워 꼭 받을게,이렇게까지 너 챙겨주는 사람이 나말고 없니?
고등학생이 담배 피우고 술 마시는게 자랑인가?,내 친구들도 다들 해 너만 모르는거고 그러니까 너가 찐따 소리듣는 거라니까?
내가 왜 이런거 다 말해야되는지 진짜 모르겠어,너 반대로 내가 얼굴 다 감췄어봐 완전 뭐라할 거잖아 말하는게 맞다니까.
아니 그럼 다른사람들이 다 좋다고 하는데 나 혼자 싫다그래?,너가 이래서 안된다는거야 니 할일은 니가 드라마를 봐야지 뭐하는거야
저애보다 내가 예쁘다고해주면 어디 남아나냐?,말같지도 않은걸 어쩌라고. 너가 어딜봐서 저사람보다 이쁘냐? 지나가는 개가웃겠네 참
근데이 운전하는데 차 키 어디에 뒀어?,내가이 나가야 하는데 왜 이렇게 밍기적거려? 너 때문에 지각하면 니가 이기는 거야?
날 얼마나 안다고 함부로 지껄이냐?,나말고도 다른 사람이 나에 대해서 똑같이 말했어
야 보육이 뭐 자랑 것도 아니고 그렇게 함부로 말할 게 아닌데?,네네네 너무너무 대단하고 열심히 힘든일 하시는 분들을 못뵈서 죄송하네요 진짜 니가 더 대단했으면 그따위 일 안하고 살았겠지
이번 생신에 울 엄마 혼신장 차릴까,이혼하고 싶냐 어디서 효도코스프레질이야 짜증나네
